id,publication_year,cited_by_count,author_ids
https://openalex.org/W4395025834,2024,80,"['https://openalex.org/A5051050719', 'https://openalex.org/A5084936290', 'https://openalex.org/A5050023117', 'https://openalex.org/A5029882049']"
https://openalex.org/W3153269634,2021,45,"['https://openalex.org/A5050023117', 'https://openalex.org/A5049920688']"
https://openalex.org/W4385571619,2023,40,"['https://openalex.org/A5051050719', 'https://openalex.org/A5101519083', 'https://openalex.org/A5084936290', 'https://openalex.org/A5050023117']"
https://openalex.org/W4287888350,2022,38,"['https://openalex.org/A5050023117', 'https://openalex.org/A5030360445', 'https://openalex.org/A5032463780', 'https://openalex.org/A5053442069', 'https://openalex.org/A5084936290']"
https://openalex.org/W4401042900,2024,26,"['https://openalex.org/A5050023117', 'https://openalex.org/A5051050719', 'https://openalex.org/A5084936290', 'https://openalex.org/A5075973241', 'https://openalex.org/A5078515950', 'https://openalex.org/A5084505122']"
https://openalex.org/W4402671261,2024,23,"['https://openalex.org/A5050023117', 'https://openalex.org/A5014923355', 'https://openalex.org/A5034624275', 'https://openalex.org/A5094018608', 'https://openalex.org/A5051050719', 'https://openalex.org/A5107568560', 'https://openalex.org/A5084505122']"
https://openalex.org/W4385573219,2022,16,"['https://openalex.org/A5050023117', 'https://openalex.org/A5032463780', 'https://openalex.org/A5060377481', 'https://openalex.org/A5084505122']"
https://openalex.org/W4409361921,2025,10,"['https://openalex.org/A5050023117', 'https://openalex.org/A5095761893', 'https://openalex.org/A5084936290', 'https://openalex.org/A5084505122']"
https://openalex.org/W3193717459,2022,40,"['https://openalex.org/A5051050719', 'https://openalex.org/A5084936290', 'https://openalex.org/A5050023117', 'https://openalex.org/A5026811404', 'https://openalex.org/A5029882049']"
https://openalex.org/W3120042896,2021,30,"['https://openalex.org/A5050023117', 'https://openalex.org/A5089430214', 'https://openalex.org/A5004209770', 'https://openalex.org/A5110724093', 'https://openalex.org/A5038233956', 'https://openalex.org/A5049920688']"
https://openalex.org/W4389523709,2023,11,"['https://openalex.org/A5051050719', 'https://openalex.org/A5081572871', 'https://openalex.org/A5084936290', 'https://openalex.org/A5050023117', 'https://openalex.org/A5029882049']"
https://openalex.org/W4408224376,2025,10,"['https://openalex.org/A5068726494', 'https://openalex.org/A5012327209', 'https://openalex.org/A5050023117', 'https://openalex.org/A5029882049', 'https://openalex.org/A5091767278', 'https://openalex.org/A5038233956']"
https://openalex.org/W4402669926,2024,9,"['https://openalex.org/A5100732343', 'https://openalex.org/A5030717063', 'https://openalex.org/A5101206687', 'https://openalex.org/A5041680406', 'https://openalex.org/A5050023117', 'https://openalex.org/A5038390320', 'https://openalex.org/A5084505122', 'https://openalex.org/A5088832285']"
https://openalex.org/W4402670419,2024,6,"['https://openalex.org/A5030047993', 'https://openalex.org/A5050023117', 'https://openalex.org/A5094095377', 'https://openalex.org/A5022688200']"
https://openalex.org/W4200635105,2022,9,"['https://openalex.org/A5050023117', 'https://openalex.org/A5084936290', 'https://openalex.org/A5084505122', 'https://openalex.org/A5049920688']"
https://openalex.org/W4401041960,2024,4,"['https://openalex.org/A5100609741', 'https://openalex.org/A5049440095', 'https://openalex.org/A5087823830', 'https://openalex.org/A5056922715', 'https://openalex.org/A5100679181', 'https://openalex.org/A5050023117', 'https://openalex.org/A5073443117', 'https://openalex.org/A5021499005']"
https://openalex.org/W4401043909,2024,4,"['https://openalex.org/A5050411756', 'https://openalex.org/A5050023117', 'https://openalex.org/A5082637973']"
https://openalex.org/W4225590901,2021,3,"['https://openalex.org/A5050023117', 'https://openalex.org/A5084936290', 'https://openalex.org/A5084505122', 'https://openalex.org/A5049920688']"
https://openalex.org/W4385571603,2023,3,"['https://openalex.org/A5009743435', 'https://openalex.org/A5050023117', 'https://openalex.org/A5056086147', 'https://openalex.org/A5084505122']"
https://openalex.org/W4385571937,2023,3,"['https://openalex.org/A5043153694', 'https://openalex.org/A5084936290', 'https://openalex.org/A5112554494', 'https://openalex.org/A5039289027', 'https://openalex.org/A5089793938', 'https://openalex.org/A5078802779', 'https://openalex.org/A5050023117']"
https://openalex.org/W4401042129,2024,2,"['https://openalex.org/A5003730904', 'https://openalex.org/A5026955772', 'https://openalex.org/A5075585231', 'https://openalex.org/A5067625837', 'https://openalex.org/A5029882049', 'https://openalex.org/A5050023117']"
https://openalex.org/W4411120402,2025,2,"['https://openalex.org/A5103023862', 'https://openalex.org/A5102981246', 'https://openalex.org/A5058971030', 'https://openalex.org/A5018976680', 'https://openalex.org/A5050023117', 'https://openalex.org/A5116248669']"
https://openalex.org/W4323706301,2023,48,"['https://openalex.org/A5051050719', 'https://openalex.org/A5101519083', 'https://openalex.org/A5084936290', 'https://openalex.org/A5050023117']"
https://openalex.org/W4323929307,2023,23,"['https://openalex.org/A5051050719', 'https://openalex.org/A5084936290', 'https://openalex.org/A5050023117', 'https://openalex.org/A5029882049']"
https://openalex.org/W4386794464,2023,11,"['https://openalex.org/A5060377481', 'https://openalex.org/A5009980324', 'https://openalex.org/A5109379051', 'https://openalex.org/A5050023117', 'https://openalex.org/A5087088138', 'https://openalex.org/A5015518638', 'https://openalex.org/A5005779176']"
https://openalex.org/W3196023571,2021,2,"['https://openalex.org/A5020651482', 'https://openalex.org/A5084059803']"
https://openalex.org/W2921123283,2020,505,"['https://openalex.org/A5030092162', 'https://openalex.org/A5082323302', 'https://openalex.org/A5029036509', 'https://openalex.org/A5007776666']"
https://openalex.org/W3122399452,2016,135,"['https://openalex.org/A5035270562', 'https://openalex.org/A5030092162', 'https://openalex.org/A5085413751']"
https://openalex.org/W3121972160,2020,133,"['https://openalex.org/A5030092162', 'https://openalex.org/A5065207818']"
https://openalex.org/W3108225911,2020,96,"['https://openalex.org/A5030092162', 'https://openalex.org/A5082323302', 'https://openalex.org/A5029036509', 'https://openalex.org/A5090071738', 'https://openalex.org/A5007776666']"
https://openalex.org/W2905856035,2019,95,"['https://openalex.org/A5030092162', 'https://openalex.org/A5082323302', 'https://openalex.org/A5029036509', 'https://openalex.org/A5007776666']"
https://openalex.org/W3193572750,2021,30,"['https://openalex.org/A5091385707', 'https://openalex.org/A5030092162', 'https://openalex.org/A5082323302', 'https://openalex.org/A5026436988', 'https://openalex.org/A5029036509', 'https://openalex.org/A5072930385', 'https://openalex.org/A5110799602', 'https://openalex.org/A5007776666', 'https://openalex.org/A5056779507', 'https://openalex.org/A5020053372', 'https://openalex.org/A5022301635']"
https://openalex.org/W2907797614,2019,49,"['https://openalex.org/A5072722763', 'https://openalex.org/A5030092162', 'https://openalex.org/A5082582090']"
https://openalex.org/W3132862914,2021,43,"['https://openalex.org/A5030092162', 'https://openalex.org/A5082323302', 'https://openalex.org/A5029036509', 'https://openalex.org/A5007776666']"
https://openalex.org/W2289869735,2019,40,"['https://openalex.org/A5030092162', 'https://openalex.org/A5065207818']"
https://openalex.org/W2964261139,2016,40,"['https://openalex.org/A5001211242', 'https://openalex.org/A5030092162', 'https://openalex.org/A5055795427']"
https://openalex.org/W3121709162,2020,40,"['https://openalex.org/A5029752919', 'https://openalex.org/A5076834464', 'https://openalex.org/A5030092162', 'https://openalex.org/A5010247628', 'https://openalex.org/A5090840574', 'https://openalex.org/A5001364786']"
https://openalex.org/W4381951972,2023,13,"['https://openalex.org/A5030092162', 'https://openalex.org/A5082323302', 'https://openalex.org/A5029036509', 'https://openalex.org/A5007776666']"
https://openalex.org/W2116642403,2010,14,"['https://openalex.org/A5004176528', 'https://openalex.org/A5030092162']"
https://openalex.org/W3145638031,2012,6,"['https://openalex.org/A5030092162', 'https://openalex.org/A5057771554']"
https://openalex.org/W4289766368,2022,5,"['https://openalex.org/A5030092162', 'https://openalex.org/A5040871912', 'https://openalex.org/A5069180993']"
https://openalex.org/W4406297274,2025,3,"['https://openalex.org/A5030092162', 'https://openalex.org/A5082323302']"
https://openalex.org/W3124902473,2013,4,"['https://openalex.org/A5001211242', 'https://openalex.org/A5030092162', 'https://openalex.org/A5055795427']"
https://openalex.org/W4406967609,2024,3,"['https://openalex.org/A5030092162', 'https://openalex.org/A5082323302', 'https://openalex.org/A5029036509', 'https://openalex.org/A5007776666']"
https://openalex.org/W4403222272,2024,1,"['https://openalex.org/A5030092162', 'https://openalex.org/A5082323302', 'https://openalex.org/A5029036509', 'https://openalex.org/A5007776666']"
https://openalex.org/W3123992252,2016,1,"['https://openalex.org/A5001211242', 'https://openalex.org/A5030092162', 'https://openalex.org/A5112978750']"
https://openalex.org/W1555152848,2013,100,"['https://openalex.org/A5001211242', 'https://openalex.org/A5030092162', 'https://openalex.org/A5055795427']"
https://openalex.org/W3125008832,2021,63,"['https://openalex.org/A5004176528', 'https://openalex.org/A5030092162']"
https://openalex.org/W3008453670,2019,49,"['https://openalex.org/A5030092162', 'https://openalex.org/A5065207818']"
https://openalex.org/W1768247417,2014,23,"['https://openalex.org/A5035270562', 'https://openalex.org/A5030092162', 'https://openalex.org/A5085413751']"
https://openalex.org/W2998443063,2019,22,"['https://openalex.org/A5029752919', 'https://openalex.org/A5030092162', 'https://openalex.org/A5010247628', 'https://openalex.org/A5090840574', 'https://openalex.org/A5001364786']"
https://openalex.org/W4406404116,2025,6,"['https://openalex.org/A5000168373', 'https://openalex.org/A5054129638', 'https://openalex.org/A5113390774', 'https://openalex.org/A5010154251', 'https://openalex.org/A5014437029']"
https://openalex.org/W4402648658,2024,0,"['https://openalex.org/A5000168373', 'https://openalex.org/A5054129638', 'https://openalex.org/A5113390774', 'https://openalex.org/A5010154251', 'https://openalex.org/A5014437029']"
https://openalex.org/W4400878234,2024,2,"['https://openalex.org/A5104939473', 'https://openalex.org/A5018392096', 'https://openalex.org/A5111264644', 'https://openalex.org/A5069257022', 'https://openalex.org/A5054478253']"
https://openalex.org/W4414361538,2025,0,"['https://openalex.org/A5104939473', 'https://openalex.org/A5018392096', 'https://openalex.org/A5111264644', 'https://openalex.org/A5069257022', 'https://openalex.org/A5054478253']"
https://openalex.org/W4415159347,2025,0,"['https://openalex.org/A5111264644', 'https://openalex.org/A5054478253', 'https://openalex.org/A5018392096', 'https://openalex.org/A5053155995', 'https://openalex.org/A5024324589']"
https://openalex.org/W3037819556,2012,2499,"['https://openalex.org/A5079517520', 'https://openalex.org/A5082358191']"
https://openalex.org/W1967385589,2002,1845,"['https://openalex.org/A5079517520', 'https://openalex.org/A5101866798', 'https://openalex.org/A5026337966', 'https://openalex.org/A5067771153']"
https://openalex.org/W1983275606,2002,1070,"['https://openalex.org/A5079517520', 'https://openalex.org/A5101866798']"
https://openalex.org/W2037705937,2006,901,"['https://openalex.org/A5008935489', 'https://openalex.org/A5079517520', 'https://openalex.org/A5067142016']"
https://openalex.org/W1976040640,2012,607,"['https://openalex.org/A5032415518', 'https://openalex.org/A5060102759', 'https://openalex.org/A5079517520']"
https://openalex.org/W1991442303,2006,601,"['https://openalex.org/A5079517520', 'https://openalex.org/A5067142016']"
https://openalex.org/W4206071945,2022,559,"['https://openalex.org/A5084438761', 'https://openalex.org/A5079517520', 'https://openalex.org/A5059087308', 'https://openalex.org/A5079617036', 'https://openalex.org/A5028650315', 'https://openalex.org/A5100422377', 'https://openalex.org/A5048798915', 'https://openalex.org/A5009325271', 'https://openalex.org/A5051942308', 'https://openalex.org/A5100685292', 'https://openalex.org/A5100368250', 'https://openalex.org/A5045125398', 'https://openalex.org/A5103275212', 'https://openalex.org/A5083819212', 'https://openalex.org/A5044431363']"
https://openalex.org/W2122407999,2003,361,"['https://openalex.org/A5079517520', 'https://openalex.org/A5037550701', 'https://openalex.org/A5006225383']"
https://openalex.org/W1975443659,2011,327,"['https://openalex.org/A5032045555', 'https://openalex.org/A5025801291', 'https://openalex.org/A5079517520']"
https://openalex.org/W2046065260,2005,256,['https://openalex.org/A5079517520']
https://openalex.org/W4235733559,2002,232,"['https://openalex.org/A5079517520', 'https://openalex.org/A5101866798']"
https://openalex.org/W2050821205,2002,229,"['https://openalex.org/A5101866798', 'https://openalex.org/A5069767266', 'https://openalex.org/A5079517520', 'https://openalex.org/A5024925085', 'https://openalex.org/A5077421690', 'https://openalex.org/A5056662128']"
