cited_by_count,country_code,display_name,h_index,id,works_api_url,works_count
729.0,CN,Weijian Huang,11.0,https://openalex.org/A5015760298,https://api.openalex.org/works?filter=author.id:A5015760298,23.0
106.0,CN,Jiajin Tang,4.0,https://openalex.org/A5102705973,https://api.openalex.org/works?filter=author.id:A5102705973,14.0
945.0,SK,Ondrej Buchel,10.0,https://openalex.org/A5075838112,https://api.openalex.org/works?filter=author.id:A5075838112,22.0
5901.0,GB,Gilbert Roberts,29.0,https://openalex.org/A5102930558,https://api.openalex.org/works?filter=author.id:A5102930558,71.0
139.0,PA,Bernardo García Bulle Bueno,6.0,https://openalex.org/A5054308726,https://api.openalex.org/works?filter=author.id:A5054308726,17.0
99.0,CH,Lena Ajdacic,4.0,https://openalex.org/A5024266154,https://api.openalex.org/works?filter=author.id:A5024266154,9.0
421.0,US,S. Sclaroff,7.0,https://openalex.org/A5057432101,https://api.openalex.org/works?filter=author.id:A5057432101,8.0
462.0,DE,Stephanie Wegscheider,8.0,https://openalex.org/A5000761697,https://api.openalex.org/works?filter=author.id:A5000761697,21.0
284.0,CN,Yilun Xu,8.0,https://openalex.org/A5102802142,https://api.openalex.org/works?filter=author.id:A5102802142,18.0
1566.0,US,Xingmin Meng,20.0,https://openalex.org/A5069819917,https://api.openalex.org/works?filter=author.id:A5069819917,50.0
49.0,US,Janice T. Blane,3.0,https://openalex.org/A5022585812,https://api.openalex.org/works?filter=author.id:A5022585812,7.0
24.0,US,Rohail Asim,2.0,https://openalex.org/A5076162556,https://api.openalex.org/works?filter=author.id:A5076162556,14.0
272.0,DE,Kai Willem Weyandt,4.0,https://openalex.org/A5078375901,https://api.openalex.org/works?filter=author.id:A5078375901,7.0
199.0,US,Carolyn Egelman,7.0,https://openalex.org/A5033455461,https://api.openalex.org/works?filter=author.id:A5033455461,13.0
2269.0,MY,Nor’azim Mohd Yunos,16.0,https://openalex.org/A5041019746,https://api.openalex.org/works?filter=author.id:A5041019746,34.0
21.0,US,Matt Franchi,2.0,https://openalex.org/A5092031105,https://api.openalex.org/works?filter=author.id:A5092031105,3.0
88.0,DE,Anuja Hariharan,6.0,https://openalex.org/A5105367994,https://api.openalex.org/works?filter=author.id:A5105367994,12.0
56.0,HU,Attila Gulyás,3.0,https://openalex.org/A5101437231,https://api.openalex.org/works?filter=author.id:A5101437231,31.0
140.0,SE,Niclas Lovsjö,2.0,https://openalex.org/A5009212094,https://api.openalex.org/works?filter=author.id:A5009212094,2.0
548.0,US,Alexandra Schofield,9.0,https://openalex.org/A5035362847,https://api.openalex.org/works?filter=author.id:A5035362847,20.0
126.0,BE,Julie Terache,3.0,https://openalex.org/A5027925190,https://api.openalex.org/works?filter=author.id:A5027925190,5.0
405.0,AT,Andrea Naderer,10.0,https://openalex.org/A5061149639,https://api.openalex.org/works?filter=author.id:A5061149639,14.0
438.0,PK,Omar Ahmed Shaikh,3.0,https://openalex.org/A5047951879,https://api.openalex.org/works?filter=author.id:A5047951879,11.0
532.0,US,Maria Jabon,6.0,https://openalex.org/A5040732687,https://api.openalex.org/works?filter=author.id:A5040732687,9.0
40.0,CN,Yao Li Peng,3.0,https://openalex.org/A5039655648,https://api.openalex.org/works?filter=author.id:A5039655648,6.0
15.0,AT,Abdullah Alrhmoun,2.0,https://openalex.org/A5034273194,https://api.openalex.org/works?filter=author.id:A5034273194,4.0
140.0,SL,Kate Krontiris,4.0,https://openalex.org/A5066556110,https://api.openalex.org/works?filter=author.id:A5066556110,6.0
53.0,US,Vaijghn Tooley,1.0,https://openalex.org/A5047010435,https://api.openalex.org/works?filter=author.id:A5047010435,1.0
2022.0,US,Sam Gaddis,4.0,https://openalex.org/A5030298506,https://api.openalex.org/works?filter=author.id:A5030298506,5.0
749.0,HR,Zvonimir Galić,14.0,https://openalex.org/A5081581970,https://api.openalex.org/works?filter=author.id:A5081581970,144.0
1130.0,DE,Anne Lauscher,17.0,https://openalex.org/A5022688200,https://api.openalex.org/works?filter=author.id:A5022688200,126.0
2021.0,NL,Panos Markopoulos,21.0,https://openalex.org/A5027611742,https://api.openalex.org/works?filter=author.id:A5027611742,120.0
2939.0,CN,Xiaolong Guo,26.0,https://openalex.org/A5076198928,https://api.openalex.org/works?filter=author.id:A5076198928,113.0
917.0,CN,Yin Zhang,16.0,https://openalex.org/A5100343699,https://api.openalex.org/works?filter=author.id:A5100343699,87.0
315.0,DE,Michael Nast,9.0,https://openalex.org/A5061954318,https://api.openalex.org/works?filter=author.id:A5061954318,69.0
660.0,US,Yozen Liu,9.0,https://openalex.org/A5016839661,https://api.openalex.org/works?filter=author.id:A5016839661,46.0
115.0,GB,Christina Ioannou,6.0,https://openalex.org/A5023777290,https://api.openalex.org/works?filter=author.id:A5023777290,46.0
532.0,GB,Anna Truzzi,12.0,https://openalex.org/A5062723487,https://api.openalex.org/works?filter=author.id:A5062723487,42.0
598.0,ES,Luis A. Martínez-Vaquero,12.0,https://openalex.org/A5034963632,https://api.openalex.org/works?filter=author.id:A5034963632,36.0
64.0,CN,Tao Zhao,4.0,https://openalex.org/A5008054196,https://api.openalex.org/works?filter=author.id:A5008054196,30.0
713.0,CN,Xin Yuan,8.0,https://openalex.org/A5008529855,https://api.openalex.org/works?filter=author.id:A5008529855,24.0
345.0,DK,Sina Jafarzadeh,8.0,https://openalex.org/A5015856337,https://api.openalex.org/works?filter=author.id:A5015856337,24.0
52.0,FR,Axelle Charpentier,3.0,https://openalex.org/A5042160644,https://api.openalex.org/works?filter=author.id:A5042160644,23.0
219.0,US,Roozbeh Daneshvar,7.0,https://openalex.org/A5067629531,https://api.openalex.org/works?filter=author.id:A5067629531,16.0
973.0,ES,Lasse Loepfe,11.0,https://openalex.org/A5027711218,https://api.openalex.org/works?filter=author.id:A5027711218,15.0
36.0,NL,Miljan Jović,4.0,https://openalex.org/A5033064796,https://api.openalex.org/works?filter=author.id:A5033064796,14.0
185.0,IT,L. Ioriatti,7.0,https://openalex.org/A5041232026,https://api.openalex.org/works?filter=author.id:A5041232026,11.0
35.0,JP,Masashi Tomoyose,3.0,https://openalex.org/A5048673787,https://api.openalex.org/works?filter=author.id:A5048673787,10.0
