author_id,display_name,works_api_url,h_index,works_count,country_code
A5001097474,Atushi Ishikawa,https://api.openalex.org/works?filter=author.id:A5001097474,12.0,103.0,
A5082051013,Mike Conway,https://api.openalex.org/works?filter=author.id:A5082051013,31.0,220.0,AU
A5012092057,Rezvaneh Rezapour,https://api.openalex.org/works?filter=author.id:A5012092057,8.0,67.0,
A5040323736,Marcus J. Grote,https://api.openalex.org/works?filter=author.id:A5040323736,31.0,141.0,
A5002020728,Mikko Kivelä,https://api.openalex.org/works?filter=author.id:A5002020728,22.0,118.0,FI
A5072495084,Emmanuel J. Candès,https://api.openalex.org/works?filter=author.id:A5072495084,88.0,299.0,
A5019218689,Cameron Lai,https://api.openalex.org/works?filter=author.id:A5019218689,2.0,8.0,JP
A5040581923,Kohei Nakachi,https://api.openalex.org/works?filter=author.id:A5040581923,23.0,93.0,JP
A5070497645,Lisa P. Argyle,https://api.openalex.org/works?filter=author.id:A5070497645,12.0,38.0,
A5065284861,Lara Kirfel,https://api.openalex.org/works?filter=author.id:A5065284861,9.0,26.0,DE
A5025102458,Youjae Yi,https://api.openalex.org/works?filter=author.id:A5025102458,46.0,234.0,KR
A5072853267,Paul Schuler,https://api.openalex.org/works?filter=author.id:A5072853267,15.0,68.0,US
A5101848967,Oh‐Hyun Kwon,https://api.openalex.org/works?filter=author.id:A5101848967,8.0,31.0,KR
A5032016061,Toby E. Stuart,https://api.openalex.org/works?filter=author.id:A5032016061,44.0,111.0,
A5120236069,Oromia Sero,https://api.openalex.org/works?filter=author.id:A5120236069,0.0,1.0,NL
A5036782945,Robert Helmrich,https://api.openalex.org/works?filter=author.id:A5036782945,8.0,52.0,DE
A5090110425,Bufan Gao,https://api.openalex.org/works?filter=author.id:A5090110425,1.0,9.0,CN
A5073660378,Annika Fredén,https://api.openalex.org/works?filter=author.id:A5073660378,7.0,52.0,
A5058731900,Alec Kirkley,https://api.openalex.org/works?filter=author.id:A5058731900,11.0,60.0,HK
A5083303782,S. Kellogg,https://api.openalex.org/works?filter=author.id:A5083303782,11.0,87.0,FR
A5050812782,Renu Singh,https://api.openalex.org/works?filter=author.id:A5050812782,23.0,95.0,
A5016944327,Сауле Бекова,https://api.openalex.org/works?filter=author.id:A5016944327,9.0,33.0,AU
A5079124227,Yingwen Wang,https://api.openalex.org/works?filter=author.id:A5079124227,22.0,99.0,TW
A5034182754,A. Chawla,https://api.openalex.org/works?filter=author.id:A5034182754,6.0,16.0,GB
A5048877432,Bruno Lepri,https://api.openalex.org/works?filter=author.id:A5048877432,46.0,354.0,IT
A5005205473,Yann Vonlanthen,https://api.openalex.org/works?filter=author.id:A5005205473,3.0,24.0,CH
A5058732791,Andreas Bjerre-Nielsen,https://api.openalex.org/works?filter=author.id:A5058732791,10.0,32.0,DK
A5111793089,Senem Demirci,https://api.openalex.org/works?filter=author.id:A5111793089,9.0,19.0,
A5077179813,Libby Hemphill,https://api.openalex.org/works?filter=author.id:A5077179813,23.0,141.0,US
A5050185892,Sarah Bohnensteffen,https://api.openalex.org/works?filter=author.id:A5050185892,0.0,1.0,
A5105892330,Moena Hashimoto,https://api.openalex.org/works?filter=author.id:A5105892330,1.0,4.0,
A5067807487,Emma Pierson,https://api.openalex.org/works?filter=author.id:A5067807487,25.0,106.0,
A5024066633,Annett Heft,https://api.openalex.org/works?filter=author.id:A5024066633,16.0,61.0,DE
A5103911177,Samsun Knight,https://api.openalex.org/works?filter=author.id:A5103911177,3.0,5.0,CA
A5037204027,Christoph Kern,https://api.openalex.org/works?filter=author.id:A5037204027,37.0,157.0,AT
A5091032457,Jörg Matthes,https://api.openalex.org/works?filter=author.id:A5091032457,63.0,441.0,AT
A5027925493,Thorsten Piske,https://api.openalex.org/works?filter=author.id:A5027925493,11.0,48.0,
A5074645479,Marco Viviani,https://api.openalex.org/works?filter=author.id:A5074645479,24.0,137.0,IT
A5034315722,Timo Damm,https://api.openalex.org/works?filter=author.id:A5034315722,13.0,57.0,DE
A5090537015,Christopher Frantz,https://api.openalex.org/works?filter=author.id:A5090537015,10.0,73.0,NO
A5052696387,Simona Sacco,https://api.openalex.org/works?filter=author.id:A5052696387,72.0,542.0,IT
A5079301645,Danny Tse Ngong,https://api.openalex.org/works?filter=author.id:A5079301645,1.0,1.0,
A5053796170,Vikram Kamath Cannanure,https://api.openalex.org/works?filter=author.id:A5053796170,8.0,31.0,DE
A5057695979,Michalis Vazirgiannis,https://api.openalex.org/works?filter=author.id:A5057695979,46.0,362.0,FR
A5084087666,Wanting Wang,https://api.openalex.org/works?filter=author.id:A5084087666,22.0,152.0,CN
A5021210667,Dominik Brunner,https://api.openalex.org/works?filter=author.id:A5021210667,66.0,581.0,CH
A5065830601,Joel Mire,https://api.openalex.org/works?filter=author.id:A5065830601,2.0,6.0,
A5084148692,Elliot E. Pickens,https://api.openalex.org/works?filter=author.id:A5084148692,1.0,2.0,
A5045790313,Diogo M. Geraldes,https://api.openalex.org/works?filter=author.id:A5045790313,9.0,15.0,
A5007458424,Bogang Jun,https://api.openalex.org/works?filter=author.id:A5007458424,10.0,46.0,KR
A5104939473,Luigi Arminio,https://api.openalex.org/works?filter=author.id:A5104939473,2.0,7.0,DK
A5025683130,Filipi N. Silva,https://api.openalex.org/works?filter=author.id:A5025683130,17.0,91.0,US
A5014175416,Felicia Löecherbach,https://api.openalex.org/works?filter=author.id:A5014175416,8.0,23.0,
A5004566032,Emőke-Ágnes Horvát,https://api.openalex.org/works?filter=author.id:A5004566032,15.0,72.0,US
A5033570300,C.-Y. Doris and Lily Li-juang Liu Chen,https://api.openalex.org/works?filter=author.id:A5033570300,1.0,2.0,
A5055111984,Vito Trianni,https://api.openalex.org/works?filter=author.id:A5055111984,41.0,161.0,IT
A5032193396,Lunan Zhao,https://api.openalex.org/works?filter=author.id:A5032193396,3.0,3.0,CN
A5034880843,Laura Kurek,https://api.openalex.org/works?filter=author.id:A5034880843,2.0,4.0,
A5025745021,Hyejin Youn,https://api.openalex.org/works?filter=author.id:A5025745021,15.0,57.0,US
A5100329932,Xi Chen,https://api.openalex.org/works?filter=author.id:A5100329932,81.0,928.0,CN
A5013535058,Sándor Juhász,https://api.openalex.org/works?filter=author.id:A5013535058,12.0,90.0,HU
A5000991048,Yi Zhao,https://api.openalex.org/works?filter=author.id:A5000991048,68.0,333.0,CN
A5114445219,Stein Jongerius,https://api.openalex.org/works?filter=author.id:A5114445219,1.0,10.0,
A5082283204,Panayiotis Smeros,https://api.openalex.org/works?filter=author.id:A5082283204,6.0,19.0,
A5026949484,Philipp Lorenz-Spreen,https://api.openalex.org/works?filter=author.id:A5026949484,20.0,82.0,DE
A5007130586,Zihan Yan,https://api.openalex.org/works?filter=author.id:A5007130586,24.0,188.0,US
A5058408154,Daniel E. Ho,https://api.openalex.org/works?filter=author.id:A5058408154,35.0,242.0,US
A5081445152,Giuliano Cornacchia,https://api.openalex.org/works?filter=author.id:A5081445152,5.0,24.0,IT
A5047024225,René Algesheimer,https://api.openalex.org/works?filter=author.id:A5047024225,22.0,104.0,CH
A5111264644,Matías Piqueras,https://api.openalex.org/works?filter=author.id:A5111264644,1.0,3.0,SE
A5120484800,Sam Jeffers,https://api.openalex.org/works?filter=author.id:A5120484800,0.0,1.0,
A5000025221,Nikolas Zöller,https://api.openalex.org/works?filter=author.id:A5000025221,4.0,10.0,DE
A5127766019,Giulia Sturlese,https://api.openalex.org/works?filter=author.id:A5127766019,0.0,1.0,
A5055877209,Joshua E. Rosen,https://api.openalex.org/works?filter=author.id:A5055877209,19.0,53.0,US
A5012632282,Elyse J. Thulin,https://api.openalex.org/works?filter=author.id:A5012632282,10.0,40.0,US
A5041997204,Ren Mo,https://api.openalex.org/works?filter=author.id:A5041997204,2.0,4.0,
A5065140311,Robert Paluch,https://api.openalex.org/works?filter=author.id:A5065140311,5.0,14.0,PL
A5035999040,Hayafumi Watanabe,https://api.openalex.org/works?filter=author.id:A5035999040,4.0,18.0,
A5037920323,Xiaoxu Ren,https://api.openalex.org/works?filter=author.id:A5037920323,12.0,78.0,CN
A5034443870,Katie Sweet,https://api.openalex.org/works?filter=author.id:A5034443870,22.0,29.0,GB
A5045451254,Javier García-Bernardo,https://api.openalex.org/works?filter=author.id:A5045451254,15.0,86.0,NL
A5017420997,Ian Van Buskirk,https://api.openalex.org/works?filter=author.id:A5017420997,2.0,4.0,US
A5087885407,Joel A. C. Baum,https://api.openalex.org/works?filter=author.id:A5087885407,55.0,264.0,CA
A5030630783,Sebastian F. K. Svegaard,https://api.openalex.org/works?filter=author.id:A5030630783,2.0,14.0,AU
A5095383449,Claire Wonjeong Jo,https://api.openalex.org/works?filter=author.id:A5095383449,2.0,6.0,
A5068647614,Alessandro Lozza,https://api.openalex.org/works?filter=author.id:A5068647614,24.0,90.0,BE
A5030588092,Katrin Weller,https://api.openalex.org/works?filter=author.id:A5030588092,21.0,117.0,
A5060975667,Paul Ginsparg,https://api.openalex.org/works?filter=author.id:A5060975667,35.0,98.0,
A5000454719,Tiago Oliveira Cunha,https://api.openalex.org/works?filter=author.id:A5000454719,5.0,16.0,DK
A5023536673,Pádraig MacCarron,https://api.openalex.org/works?filter=author.id:A5023536673,13.0,71.0,IE
A5115780938,Ahmet Furkan Un,https://api.openalex.org/works?filter=author.id:A5115780938,0.0,2.0,ES
A5068331353,Juliana Schroeder,https://api.openalex.org/works?filter=author.id:A5068331353,30.0,132.0,US
A5054380585,Sarah Marie Müller,https://api.openalex.org/works?filter=author.id:A5054380585,2.0,8.0,CH
A5100367775,Yan Xia,https://api.openalex.org/works?filter=author.id:A5100367775,43.0,662.0,US
A5061086330,Clara Eminente,https://api.openalex.org/works?filter=author.id:A5061086330,1.0,2.0,
A5085100954,Angel Hsing‐Chi Hwang,https://api.openalex.org/works?filter=author.id:A5085100954,10.0,46.0,
A5005014512,Seeun Kim,https://api.openalex.org/works?filter=author.id:A5005014512,18.0,93.0,KR
A5084303908,Júlia Koltai,https://api.openalex.org/works?filter=author.id:A5084303908,13.0,68.0,HU
A5047677855,Julia A. Minson,https://api.openalex.org/works?filter=author.id:A5047677855,21.0,74.0,
A5005902842,Salsabil Arabi,https://api.openalex.org/works?filter=author.id:A5005902842,3.0,9.0,US
A5033106393,Simon S. Woo,https://api.openalex.org/works?filter=author.id:A5033106393,25.0,244.0,KR
