,id,publication_year,cited_by_count,author_ids
71,https://openalex.org/W3177019841,2021.0,76,"['A5021515262', 'A5050415063', 'A5020199695', 'A5070491108', 'A5044898565']"
72,https://openalex.org/W4324155120,2023.0,76,"['A5021515262', 'A5054087761', 'A5004951359', 'A5024505700', 'A5044898565', 'A5050415063', 'A5024898168']"
73,https://openalex.org/W1992123715,2004.0,72,"['A5030805884', 'A5071165387', 'A5037969281']"
74,https://openalex.org/W3019602516,2020.0,72,"['A5083126896', 'A5063752021', 'A5061923992', 'A5084955495', 'A5014283670', 'A5044849571']"
75,https://openalex.org/W2075000550,2014.0,70,"['A5084955495', 'A5081008532', 'A5062093738']"
76,https://openalex.org/W2614820936,2017.0,69,"['A5021515262', 'A5059787882', 'A5070491108', 'A5032926589', 'A5025218537']"
77,https://openalex.org/W2936285431,2019.0,67,"['A5084955495', 'A5061923992', 'A5090730667', 'A5042192372']"
78,https://openalex.org/W2508411949,2016.0,64,"['A5014048759', 'A5000035181', 'A5025218537']"
79,https://openalex.org/W2952411148,2019.0,62,"['A5081354576', 'A5100648498', 'A5058212934']"
80,https://openalex.org/W3212688143,2021.0,62,"['A5027417114', 'A5049740369', 'A5058212934']"
81,https://openalex.org/W4389519044,2023.0,62,"['A5026189296', 'A5042817035', 'A5033829606', 'A5058212934']"
82,https://openalex.org/W2551188670,2016.0,61,"['A5073010651', 'A5052396839', 'A5000066138']"
83,https://openalex.org/W3148596093,2021.0,53,"['A5032478558', 'A5082984309', 'A5068264194', 'A5100320542', 'A5061824052', 'A5006932859']"
84,https://openalex.org/W2114887670,2014.0,52,"['A5070565287', 'A5087587379', 'A5101824160', 'A5032456107']"
85,https://openalex.org/W2157157156,2020.0,52,"['A5042551745', 'A5071165387', 'A5002330321', 'A5088555912', 'A5074388586', 'A5017467806', 'A5078902586', 'A5035203700']"
86,https://openalex.org/W2937471310,2019.0,52,"['A5065605346', 'A5075682473', 'A5022660208', 'A5041733470']"
87,https://openalex.org/W2807321295,2018.0,50,"['A5083126896', 'A5046133815', 'A5061923992', 'A5044849571', 'A5084955495', 'A5112865214', 'A5028928899', 'A5112466339']"
88,https://openalex.org/W4313531432,2023.0,50,"['A5084541387', 'A5000035181', 'A5025218537', 'A5041522495', 'A5010107878', 'A5014048759']"
89,https://openalex.org/W4390671601,2024.0,46,"['A5015855466', 'A5008840028', 'A5088621577', 'A5084955495', 'A5061923992']"
90,https://openalex.org/W4238938728,2018.0,41,"['A5108542460', 'A5058212934', 'A5111494550']"
91,https://openalex.org/W3048746621,2020.0,37,"['A5074785110', 'A5082391072', 'A5022660208']"
92,https://openalex.org/W4378469510,2023.0,37,"['A5051722276', 'A5014617842', 'A5079452617']"
93,https://openalex.org/W4408399347,2025.0,37,"['A5112468935', 'A5062253481', 'A5082953212', 'A5071261828']"
94,https://openalex.org/W4293052867,2022.0,35,"['A5109368065', 'A5070909977', 'A5047436850', 'A5052345140', 'A5042391987']"
95,https://openalex.org/W4309348012,2022.0,29,"['A5091251187', 'A5003777693', 'A5071524745', 'A5082937374', 'A5023007469', 'A5044898565', 'A5024505700']"
96,https://openalex.org/W4408165369,2025.0,28,"['A5101305177', 'A5037727403', 'A5083899273']"
97,https://openalex.org/W4317569086,2023.0,24,"['A5071024446', 'A5008862185', 'A5010117081', 'A5080480199', 'A5059223686']"
98,https://openalex.org/W4396230711,2024.0,16,"['A5103204998', 'A5091251187', 'A5044898565']"
99,https://openalex.org/W3171500880,2021.0,14,['A5073010651']
100,https://openalex.org/W4395463940,2024.0,14,"['A5092557136', 'A5038308505', 'A5041084891', 'A5025218537', 'A5015478086']"
101,https://openalex.org/W4402642484,2024.0,14,"['A5090030525', 'A5071165387', 'A5016057473']"
102,https://openalex.org/W4399084188,2024.0,13,"['A5008862185', 'A5071024446', 'A5005219721']"
103,https://openalex.org/W4409736133,2025.0,13,"['A5018646665', 'A5050735872', 'A5053806434', 'A5086934220', 'A5021777354']"
104,https://openalex.org/W4409885603,2025.0,12,"['A5013420619', 'A5018646665', 'A5039637818', 'A5074825066', 'A5083645580', 'A5036398088', 'A5042324278']"
105,https://openalex.org/W2033167326,2006.0,133,"['A5025218537', 'A5014662127', 'A5061287527', 'A5046546654']"
106,https://openalex.org/W1502950997,2004.0,118,['A5071165387']
107,https://openalex.org/W2160442532,2004.0,116,"['A5037774973', 'A5070565287', 'A5053234439']"
108,https://openalex.org/W2138216903,2009.0,107,"['A5071165387', 'A5002330321', 'A5085423155']"
109,https://openalex.org/W2135615843,2013.0,104,"['A5014048759', 'A5059787882', 'A5025218537']"
110,https://openalex.org/W2602970604,2007.0,98,['A5071165387']
111,https://openalex.org/W2287926972,2015.0,95,['A5070565287']
112,https://openalex.org/W1649443842,2012.0,93,"['A5077163579', 'A5071165387']"
113,https://openalex.org/W2163129448,2013.0,91,"['A5018285423', 'A5014048759', 'A5025218537']"
114,https://openalex.org/W2780818762,2017.0,88,"['A5013376896', 'A5022660208', 'A5062124553']"
115,https://openalex.org/W1139224560,2015.0,87,"['A5071195976', 'A5053503915', 'A5082617644', 'A5083878887', 'A5024505700', 'A5044898565', 'A5024898168', 'A5068819495', 'A5073578227']"
116,https://openalex.org/W1590503460,2003.0,87,"['A5022272025', 'A5024505700', 'A5071118771', 'A5044898565']"
117,https://openalex.org/W2082732197,1999.0,85,"['A5022272025', 'A5024505700', 'A5055943837', 'A5044898565']"
118,https://openalex.org/W2047740442,2014.0,82,"['A5014048759', 'A5073691332', 'A5035165297', 'A5064601780', 'A5000035181', 'A5025218537']"
119,https://openalex.org/W2136715366,2012.0,81,"['A5024898168', 'A5083599653', 'A5071080751', 'A5036998377', 'A5044898565', 'A5024505700']"
120,https://openalex.org/W35086054,2011.0,77,"['A5058212934', 'A5112237032']"
121,https://openalex.org/W2141627821,2014.0,74,"['A5084955495', 'A5081008532', 'A5061810530', 'A5067688305', 'A5062093738']"
122,https://openalex.org/W2165412850,2011.0,72,"['A5002787525', 'A5006476793', 'A5071165387']"
123,https://openalex.org/W2810463027,2018.0,69,"['A5014283670', 'A5084955495', 'A5061923992', 'A5083126896', 'A5044849571']"
124,https://openalex.org/W2963104173,2021.0,68,"['A5096878617', 'A5112456364', 'A5101058262', 'A5110671642', 'A5061923992', 'A5084955495']"
125,https://openalex.org/W2092770599,2012.0,65,"['A5070565287', 'A5087587379', 'A5058654623']"
